token,capability,action,strategicObj,tacticalObj

Was,command and control,O,O,O
the,command and control,O,O,O
DNC,command and control,O,O,O
breach,command and control,O,O,O
part,command and control,O,O,O
of,command and control,O,O,O
a,command and control,O,O,O
concerted,command and control,O,O,O
effort,command and control,O,O,O
by,command and control,O,O,O
the,command and control,O,O,O
Russian,command and control,O,O,O
Government,command and control,O,O,O
to,command and control,O,O,O
interfere,command and control,O,O,O
with,command and control,O,O,O
the,command and control,O,O,O
U.S,command and control,O,O,O
.,command and control,O,O,O
presidential,command and control,O,O,O
election,command and control,O,O,O

steal,data theft,O,steal stored information,identify target machine(s)
internal,data theft,O,steal stored information,identify target machine(s)
data,data theft,O,steal stored information,identify target machine(s)

APT28.5,6,command and control,O,send data to c2 server,O
Kyrgyzstan,command and control,O,send data to c2 server,O
Ministry,command and control,O,send data to c2 server,O
of,command and control,O,send data to c2 server,O
Foreign,command and control,O,send data to c2 server,O
Affairs,command and control,O,send data to c2 server,O
OCTOBER,command and control,O,send data to c2 server,O
2014,command and control,O,send data to c2 server,O
THROUGH,command and control,O,send data to c2 server,O
SEPTEMBER,command and control,O,send data to c2 server,O
2015,command and control,O,send data to c2 server,O
FireEye,command and control,O,send data to c2 server,O
iSight,command and control,O,send data to c2 server,O
Intelligence,command and control,O,send data to c2 server,O
identified,command and control,O,send data to c2 server,O
changes,command and control,O,send data to c2 server,O
made,command and control,O,send data to c2 server,O
to,command and control,O,send data to c2 server,O
domain,command and control,O,send data to c2 server,O
name,command and control,O,send data to c2 server,O
server,command and control,O,send data to c2 server,O
(,command and control,O,send data to c2 server,O
DNS,command and control,O,send data to c2 server,O
),command and control,O,send data to c2 server,O
records,command and control,O,send data to c2 server,O
that,command and control,O,send data to c2 server,O
suggest,command and control,O,send data to c2 server,O
that,command and control,O,send data to c2 server,O
APT28,command and control,O,send data to c2 server,O
intercepted,command and control,O,send data to c2 server,O
email,command and control,O,send data to c2 server,O
traf-,command and control,O,send data to c2 server,O
fic,command and control,O,send data to c2 server,O
from,command and control,O,send data to c2 server,O
the,command and control,O,send data to c2 server,O
Kyrgyzstan,command and control,O,send data to c2 server,O
Ministry,command and control,O,send data to c2 server,O
of,command and control,O,send data to c2 server,O
Foreign,command and control,O,send data to c2 server,O
Affairs,command and control,O,send data to c2 server,O
after,command and control,O,send data to c2 server,O
maliciously,command and control,O,send data to c2 server,O
modifying,command and control,O,send data to c2 server,O
DNS,command and control,O,send data to c2 server,O
records,command and control,O,send data to c2 server,O
of,command and control,O,send data to c2 server,O
the,command and control,O,send data to c2 server,O
ministry,command and control,O,send data to c2 server,O
’,command and control,O,send data to c2 server,O
s,command and control,O,send data to c2 server,O
authoritative,command and control,O,send data to c2 server,O
DNS,command and control,O,send data to c2 server,O
servers,command and control,O,send data to c2 server,O

Evade,anti-detection,O,security software evasion,O
Detection.,anti-detection,O,security software evasion,O
”,anti-detection,O,security software evasion,O
Trend,anti-detection,O,security software evasion,O
Micro,anti-detection,O,security software evasion,O

accessed,data exfiltration,O,O,O
athlete,data exfiltration,O,O,O
medical,data exfiltration,O,O,O
data.8,data exfiltration,O,O,O
