token,capability,action,strategicObj,tacticalObj

are,infection/propagation,O,send data to c2 server,O
one-time,infection/propagation,O,send data to c2 server,O
components,infection/propagation,O,send data to c2 server,O
which,infection/propagation,O,send data to c2 server,O
are,infection/propagation,O,send data to c2 server,O
changed,infection/propagation,O,send data to c2 server,O
immediately,infection/propagation,O,send data to c2 server,O
after,infection/propagation,O,send data to c2 server,O
a,infection/propagation,O,send data to c2 server,O
successful,infection/propagation,O,send data to c2 server,O
infection,infection/propagation,O,send data to c2 server,O

substitute,machine access/control,O,probe host configuration,O
payment,machine access/control,O,probe host configuration,O
details,machine access/control,O,probe host configuration,O
in,machine access/control,O,probe host configuration,O
the,machine access/control,O,probe host configuration,O
interbank,machine access/control,O,probe host configuration,O
transfer,machine access/control,O,probe host configuration,O
system,machine access/control,O,probe host configuration,O
Citadel,machine access/control,O,probe host configuration,O
and,machine access/control,O,probe host configuration,O
Kronos,machine access/control,O,probe host configuration,O
Banking,machine access/control,O,probe host configuration,O
Trojans,machine access/control,O,probe host configuration,O

used,command and control,O,infect remote machine,O
a,command and control,O,infect remote machine,O
program,command and control,O,infect remote machine,O

control,command and control,O,control local machine,O
the,command and control,O,control local machine,O
initial,command and control,O,control local machine,O
part,command and control,O,control local machine,O
of,command and control,O,control local machine,O
their,command and control,O,control local machine,O
attacks,command and control,O,control local machine,O

is,command and control,O,O,O
the,command and control,O,O,O
use,command and control,O,O,O
of,command and control,O,O,O
a,command and control,O,O,O
separate,command and control,O,O,O
server,command and control,O,O,O
for,command and control,O,O,O
this,command and control,O,O,O
goal,command and control,O,O,O

provide,machine access/control,O,probe host configuration,O
malware,machine access/control,O,probe host configuration,O
survivability,machine access/control,O,probe host configuration,O
in,machine access/control,O,probe host configuration,O
the,machine access/control,O,probe host configuration,O
system,machine access/control,O,probe host configuration,O

ensure,persistence,O,probe host configuration,O
malware,persistence,O,probe host configuration,O
survivability,persistence,O,probe host configuration,O
in,persistence,O,probe host configuration,O
the,persistence,O,probe host configuration,O
system,persistence,O,probe host configuration,O

was,command and control,O,O,O
the,command and control,O,O,O
creation,command and control,O,O,O
of,command and control,O,O,O
services,command and control,O,O,O
using,command and control,O,O,O
.bat,command and control,O,O,O
scripts,command and control,O,O,O
that,command and control,O,O,O
launched,command and control,O,O,O
the,command and control,O,O,O
VNC,command and control,O,O,O
server,command and control,O,O,O

gain,command and control,O,O,O
domain,command and control,O,O,O
administrator,command and control,O,O,O
privileges,command and control,O,O,O

consolidate,command and control,O,compromise network operational integrity,intercept/manipulate network traffic
control,command and control,O,compromise network operational integrity,intercept/manipulate network traffic
over,command and control,O,compromise network operational integrity,intercept/manipulate network traffic
the,command and control,O,compromise network operational integrity,intercept/manipulate network traffic
network,command and control,O,compromise network operational integrity,intercept/manipulate network traffic

conduct,data theft,O,O,O
network,data theft,O,O,O
reconnaissance,data theft,O,O,O
,,data theft,O,O,O
search,data theft,O,O,O
for,data theft,O,O,O
vulnerable,data theft,O,O,O
applications,data theft,O,O,O

bypass,anti-detection,O,O,O
the,anti-detection,O,O,O
UAC,anti-detection,O,O,O
technology,anti-detection,O,O,O

extract,data theft,O,steal authentication credentials,steal web/network credential
unencrypted,data theft,O,steal authentication credentials,steal web/network credential
Windows,data theft,O,steal authentication credentials,steal web/network credential
credentials,data theft,O,steal authentication credentials,steal web/network credential

repeated,data theft,O,infect remote machine,steal web/network credential
the,data theft,O,infect remote machine,steal web/network credential
above-mentioned,data theft,O,infect remote machine,steal web/network credential
procedure,data theft,O,infect remote machine,steal web/network credential
to,data theft,O,infect remote machine,steal web/network credential
collect,data theft,O,infect remote machine,steal web/network credential
passwords,data theft,O,infect remote machine,steal web/network credential

established,infection/propagation,O,O,perform social-engineering based remote infection
an,infection/propagation,O,O,perform social-engineering based remote infection
SSH,infection/propagation,O,O,perform social-engineering based remote infection
tunnel,infection/propagation,O,O,perform social-engineering based remote infection
using,infection/propagation,O,O,perform social-engineering based remote infection
a,infection/propagation,O,O,perform social-engineering based remote infection
legitimate,infection/propagation,O,O,perform social-engineering based remote infection
tool,infection/propagation,O,O,perform social-engineering based remote infection

triggering,security degradation,create event,send data to c2 server,O
interval,security degradation,create event,send data to c2 server,O
Activity,security degradation,create event,send data to c2 server,O
of,security degradation,create event,send data to c2 server,O
the,security degradation,create event,send data to c2 server,O
triggered,security degradation,create event,send data to c2 server,O
timer,security degradation,create event,send data to c2 server,O
InternetTimer,security degradation,create event,send data to c2 server,O
Timer,security degradation,create event,send data to c2 server,O
activating,security degradation,create event,send data to c2 server,O
AtivatTimer,security degradation,create event,send data to c2 server,O
enabled,security degradation,create event,send data to c2 server,O
10,security degradation,create event,send data to c2 server,O
seconds,security degradation,create event,send data to c2 server,O
Triggers,security degradation,create event,send data to c2 server,O
the,security degradation,create event,send data to c2 server,O
activation,security degradation,create event,send data to c2 server,O
timer,security degradation,create event,send data to c2 server,O
