token,capability,action,strategicObj,tacticalObj

skyrocketing,O,O,O,O
prices,O,O,O,O

uncovered,command and control,O,infect remote machine,perform social-engineering based remote infection
a,command and control,O,infect remote machine,perform social-engineering based remote infection
number,command and control,O,infect remote machine,perform social-engineering based remote infection
of,command and control,O,infect remote machine,perform social-engineering based remote infection
multistage,command and control,O,infect remote machine,perform social-engineering based remote infection
attacks,command and control,O,infect remote machine,perform social-engineering based remote infection
that,command and control,O,infect remote machine,perform social-engineering based remote infection
use,command and control,O,infect remote machine,perform social-engineering based remote infection
cryptocurrency-related,command and control,O,infect remote machine,perform social-engineering based remote infection
lures,command and control,O,infect remote machine,perform social-engineering based remote infection

“,command and control,O,O,O
survey,command and control,O,O,O
the,command and control,O,O,O
lay,command and control,O,O,O
of,command and control,O,O,O
the,command and control,O,O,O
land.,command and control,O,O,O
”,command and control,O,O,O
In,command and control,O,O,O
this,command and control,O,O,O
research,command and control,O,O,O
we,command and control,O,O,O
detail,command and control,O,O,O
a,command and control,O,O,O
new,command and control,O,O,O
implant,command and control,O,O,O
dubbed,command and control,O,O,O
PowerRatankba,command and control,O,O,O
,,command and control,O,O,O
a,command and control,O,O,O
PowerShell-based,command and control,O,O,O
malware,command and control,O,O,O
variant,command and control,O,O,O

deliver,command and control,O,O,O
a,command and control,O,O,O
PowerRatankba.A,command and control,O,O,O
variant,command and control,O,O,O

PowerRatankba,O,O,O,O
PowerSpritz,O,O,O,O
PowerSpritz,O,O,O,O

is,O,O,O,O
a,O,O,O,O
Windows,O,O,O,O
executable,O,O,O,O

were,infection/propagation,O,install other components,O
uploaded,infection/propagation,O,install other components,O
Figure,infection/propagation,O,install other components,O
7,infection/propagation,O,install other components,O
:,infection/propagation,O,install other components,O
Malicious,infection/propagation,O,install other components,O
LNK,infection/propagation,O,install other components,O
AppLocker,infection/propagation,O,install other components,O
bypass,infection/propagation,O,install other components,O
to,infection/propagation,O,install other components,O
retrieve,infection/propagation,O,install other components,O
payload,infection/propagation,O,install other components,O
North,infection/propagation,O,install other components,O
Korea,infection/propagation,O,install other components,O
Bitten,infection/propagation,O,install other components,O
by,infection/propagation,O,install other components,O
Bitcoin,infection/propagation,O,install other components,O
Bug,infection/propagation,O,install other components,O
8,infection/propagation,O,install other components,O
Microsoft,infection/propagation,O,install other components,O
Compiled,infection/propagation,O,install other components,O
HTML,infection/propagation,O,install other components,O
Help,infection/propagation,O,install other components,O
(,infection/propagation,O,install other components,O
CHM,infection/propagation,O,install other components,O
),infection/propagation,O,install other components,O
Several,infection/propagation,O,install other components,O
malicious,infection/propagation,O,install other components,O
CHM,infection/propagation,O,install other components,O
files,infection/propagation,O,install other components,O

uses,command and control,O,O,O
a,command and control,O,O,O
VBScript,command and control,O,O,O
Execute,command and control,O,O,O
command,command and control,O,O,O
and,command and control,O,O,O
BITSAdmin,command and control,O,O,O
tool,command and control,O,O,O
to,command and control,O,O,O
download,command and control,O,O,O
a,command and control,O,O,O
malicious,command and control,O,O,O
VBScript,command and control,O,O,O
file,command and control,O,O,O
(,command and control,O,O,O
Fig,command and control,O,O,O

executes,O,execute file,O,O
a,O,execute file,O,O
VBScript,O,execute file,O,O
file,O,execute file,O,O
“,O,execute file,O,O
C,O,execute file,O,O

execute,O,O,O,O
it,O,O,O,O

executing,O,execute file,O,O
it,O,execute file,O,O

uses,infection/propagation,O,infect remote machine,O
a,infection/propagation,O,infect remote machine,O
Bithumb,infection/propagation,O,infect remote machine,O
lure,infection/propagation,O,infect remote machine,O
(,infection/propagation,O,infect remote machine,O
Fig,infection/propagation,O,infect remote machine,O

download,secondary operation,download file,install other components,O
PowerRatankba,secondary operation,download file,install other components,O
from,secondary operation,download file,install other components,O
hxxp,secondary operation,download file,install other components,O

trick,machine access/control,O,infect remote machine,perform social-engineering based remote infection
unsuspecting,machine access/control,O,infect remote machine,perform social-engineering based remote infection
victims,machine access/control,O,infect remote machine,perform social-engineering based remote infection

download,secondary operation,download file,install other components,install secondary malware
the,secondary operation,download file,install other components,install secondary malware
PowerRatankba,secondary operation,download file,install other components,install secondary malware
implant,secondary operation,download file,install other components,install secondary malware

trick,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
the,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
targets,infection/propagation,O,infect remote machine,perform social-engineering based remote infection

download,secondary operation,download file,install other components,O
a,secondary operation,download file,install other components,O
VBScript,secondary operation,download file,install other components,O
PowerRatankba,secondary operation,download file,install other components,O
downloader,secondary operation,download file,install other components,O

sends,command and control,O,O,O
detailed,command and control,O,O,O
information,command and control,O,O,O
about,command and control,O,O,O
the,command and control,O,O,O
infected,command and control,O,O,O
device,command and control,O,O,O
to,command and control,O,O,O
its,command and control,O,O,O
C,command and control,O,O,O
&,command and control,O,O,O
C,command and control,O,O,O
server,command and control,O,O,O

