token,capability,action,strategicObj,tacticalObj

delivering,anti-detection,O,O,perform social-engineering based remote infection
this,anti-detection,O,O,perform social-engineering based remote infection
document,anti-detection,O,O,perform social-engineering based remote infection
shall,anti-detection,O,O,perform social-engineering based remote infection
be,anti-detection,O,O,perform social-engineering based remote infection
liable,anti-detection,O,O,perform social-engineering based remote infection
for,anti-detection,O,O,perform social-engineering based remote infection
any,anti-detection,O,O,perform social-engineering based remote infection
consequence,anti-detection,O,O,perform social-engineering based remote infection
,,anti-detection,O,O,perform social-engineering based remote infection
loss,anti-detection,O,O,perform social-engineering based remote infection
,,anti-detection,O,O,perform social-engineering based remote infection
or,anti-detection,O,O,perform social-engineering based remote infection
damage,anti-detection,O,O,perform social-engineering based remote infection

helping,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
it,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
evade,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
traditional,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
security,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
mechanisms,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
compared,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
to,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
directly,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
sending,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
the,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
link,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
to,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
the,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
malicious,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection
document,anti-detection,send network packet,infect remote machine,perform social-engineering based remote infection

download,secondary operation,download file,control local machine,control machine via remote command
a,secondary operation,download file,control local machine,control machine via remote command
fake,secondary operation,download file,control local machine,control machine via remote command
Adobe,secondary operation,download file,control local machine,control machine via remote command
Flash,secondary operation,download file,control local machine,control machine via remote command
player,secondary operation,download file,control local machine,control machine via remote command
update,secondary operation,download file,control local machine,control machine via remote command

uses,command and control,O,O,O
sociopolitical,command and control,O,O,O
themes,command and control,O,O,O

download,secondary operation,download file,O,O
an,secondary operation,download file,O,O
.HTA,secondary operation,download file,O,O
file,secondary operation,download file,O,O

executes,O,O,install backdoor,O
the,O,O,install backdoor,O
NDiskMonitor,O,O,install backdoor,O
backdoor,O,O,install backdoor,O
and,O,O,install backdoor,O
a,O,O,install backdoor,O
decoy,O,O,install backdoor,O
document,O,O,install backdoor,O

urges,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
the,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
victim,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
to,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
click,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
on,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
a,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
fake,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
PDF,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
icon,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
to,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
open,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
the,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
malicious,infection/propagation,O,infect remote machine,perform social-engineering based remote infection
document,infection/propagation,O,infect remote machine,perform social-engineering based remote infection

download,secondary operation,download file,O,O
a,secondary operation,download file,O,O
Windows,secondary operation,download file,O,O
Script,secondary operation,download file,O,O
Component,secondary operation,download file,O,O
(,secondary operation,download file,O,O
SCT,secondary operation,download file,O,O
),secondary operation,download file,O,O
file,secondary operation,download file,O,O
from,secondary operation,download file,O,O
a,secondary operation,download file,O,O
Patchwork-owned,secondary operation,download file,O,O
server,secondary operation,download file,O,O

contained,infection/propagation,O,install backdoor,perform social-engineering based remote infection
malicious,infection/propagation,O,install backdoor,perform social-engineering based remote infection
macros,infection/propagation,O,install backdoor,perform social-engineering based remote infection
that,infection/propagation,O,install backdoor,perform social-engineering based remote infection
deliver,infection/propagation,O,install backdoor,perform social-engineering based remote infection
the,infection/propagation,O,install backdoor,perform social-engineering based remote infection
xRAT,infection/propagation,O,install backdoor,perform social-engineering based remote infection
remote,infection/propagation,O,install backdoor,perform social-engineering based remote infection
access,infection/propagation,O,install backdoor,perform social-engineering based remote infection
tool,infection/propagation,O,install backdoor,perform social-engineering based remote infection

deliver,command and control,O,infect remote machine,O
the,command and control,O,infect remote machine,O
Badnews,command and control,O,infect remote machine,O
backdoor,command and control,O,infect remote machine,O

acquire,command and control,O,O,O
a,command and control,O,O,O
few,command and control,O,O,O
samples,command and control,O,O,O
abusing,command and control,O,O,O
a,command and control,O,O,O
technique,command and control,O,O,O
called,command and control,O,O,O
self-compiled,command and control,O,O,O
.NET,command and control,O,O,O
hybrids,command and control,O,O,O

is,infection/propagation,O,O,perform social-engineering based remote infection
evaluated,infection/propagation,O,O,perform social-engineering based remote infection
