FIREEYE	NNP	X	O
iSIGHT	NN	X	O
INTELLIGENCE	NNP	X	O
APT28	NN	00111111010	O
:	:	O	O
AT	IN	X	O
THE	NNP	X	O
CENTER	NNP	X	O
OF	IN	X	O
THE	NNP	X	O
STORM	NNP	X	O
RUSSIA	NNP	X	O
STRATEGICALLY	NNP	X	O
EVOLVES	NNP	X	O
ITS	NNP	X	O
CYBER	NNP	X	O
OPERATIONS	NNP	X	O
S	NNP	X	O
P	NNP	X	O
ECIAL	NNP	X	O
R	NNP	X	O
E	NNP	011111111110	O
P	NNP	X	O
O	NNP	JJ	O
RT	NNP	X	O
/	NNP	011101100	O
JAN	NNP	X	O
UARY	NNP	X	O
2017	CD	X	O
CONTENTS	NNS	X	O
Introduction	NN	X	O
Overview	NN	X	O
APT28	NNP	00111111010	O
Targeting	NNP	01011110	O
And	CC	01011110	O
Intrusion	NNP	X	O
Activity	NNP	X	O
Table	JJ	001111000	O
1	CD	00111110010	O
-	:	01111011110	O
APT28	NNP	00111111010	O
Targeting	NNP	01011110	O
of	IN	00010	O
Political	NNP	X	O
Entities	NNP	X	O
and	CC	00001101	O
Intrusion	NNP	X	O
Activity	NNP	X	O
Table	JJ	001111000	O
2	CD	00111110010	O
-	:	01111011110	O
APT28	NNP	00111111010	O
Network	NNP	0111000	O
Activity	NNP	X	O
Has	NNP	X	O
Likely	RB	X	O
Supported	VBD	X	O
Information	NN	0111000	O
Operations	NNS	0111000	O
From	IN	01011101	O
Olympic	NNP	X	O
Slight	NNP	X	O
to	TO	000110	O
Data	NNP	0111000	O
Leak	NNP	X	O
:	:	O	O
Investigating	VBG	X	O
APT28	NNP	00111111010	O
at	IN	000111111110	O
the	DT	111110	O
World	NNP	01111110	O
Anti-Doping	NNP	X	O
Agency	NNP	0111000	O
Conclusion	NN	X	O
Appendix	NN	001111000	O
1	CD	00111110010	O
2	CD	00111110010	O
3	CD	00111110010	O
4	CD	001111100111	O
5	CD	001111100111	O
6	CD	001111100111	O
8	CD	001111100111	O
9	CD	001111100111	O

SPECIAL	JJ	X	O
REPORT	NNP	X	O
/	NNP	011101100	O
APT28	NNP	00111111010	O
:	:	O	O
AT	VBP	X	O
THE	NNP	X	O
CENTER	NNP	X	O
OF	IN	X	O
THE	NNP	X	O
STORM	NNP	X	O
i	NN	110111101	O
INTRODUCTION	NN	X	O
The	DT	010010	O
Democratic	JJ	1100000	O
National	NNP	110111111	O
Committee	NNP	1011010001	O
’	NNP	X	O
s	NN	011101011	O
(	(	0111101110	O
DNC	NNP	X	O
)	)	01111000	O
June	NNP	001111010	O
2016	CD	X	O
announcement	NN	X	O
attributing	VBG	00110111110	O
its	PRP$	1111111111	O
network	NN	101010010	O
breach	NN	10101111110	O
to	TO	000110	O
the	DT	111110	O
Russian	JJ	110111010	O
Government	NNP	110110110	O
triggered	VBD	0011011101011	O
an	DT	11111110	O
international	JJ	110111010	O
debate	NN	X	O
over	IN	00011111110010	O
Russia	NNP	0011111011	O
’	NNP	X	O
s	VBD	011101011	O
sponsorship	NN	X	O
of	IN	00010	O
information	NN	10011101	O
operations	NNS	1011100011	O
against	IN	0001111111110	O
the	DT	111110	O
U.S	NNP	101010001	O
.	.	0110	O
At	IN	01011101	O
issue	NN	10101111111	O
is	VBZ	00100011	O
the	DT	111110	O
question	NN	1011011010	O
of	IN	00010	O
proof	NN	X	O
:	:	O	O
did	VBD	0011010010	O
the	DT	111110	O
Russian	JJ	110111010	O
Government	NNP	110110110	O
direct	VBP	110011000	O
the	DT	111110	O
group	NN	1011101001	O
responsible	JJ	0011010101	O
for	IN	0001111010	O
the	DT	111110	O
breaches	NNS	10111001111	O
and	CC	00001101	O
related	VBN	001100101	O
data	NNS	10011100	O
leaks	NNS	X	O
?	.	011101110	O

If	IN	01011111	O
so	RB	0011101100	O
,	,	00000	O
is	VBZ	00100011	O
this	DT	1111110	O
simply	RB	001011111010	O
a	DT	11110	O
matter	NN	1000101	O
of	IN	00010	O
accepted	JJ	X	O
state	NN	110110110	O
espionage	NN	1010110100	O
,	,	00000	O
or	CC	00001100	O
did	VBD	0011010010	O
it	PRP	00101010	O
cross	VB	X	O
a	DT	11110	O
line	NN	011101101	O
?	.	011101110	O

Was	VBD	X	B-Verb
the	DT	111110	B-Entity
DNC	NNP	X	I-Entity
breach	NN	10101111110	I-Entity
part	NN	100001	I-Entity
of	IN	00010	I-Entity
a	DT	11110	I-Entity
concerted	JJ	X	I-Entity
effort	NN	10011010	I-Entity
by	IN	000111110	I-Entity
the	DT	111110	I-Entity
Russian	JJ	110111010	I-Entity
Government	NNP	110110110	I-Entity
to	TO	000110	I-Entity
interfere	VB	X	I-Entity
with	IN	000111100	I-Entity
the	DT	111110	I-Entity
U.S	NNP	101010001	I-Entity
.	.	0110	I-Entity
presidential	JJ	X	I-Entity
election	NN	X	I-Entity
?	.	011101110	O

Unfortunately	RB	010110	O
,	,	00000	O
we	PRP	00101000	O
have	VBP	00100110	O
failed	VBN	001100101	O
to	TO	000110	O
ask	VB	10010101	O
the	DT	111110	O
most	RBS	1110011	O
consequential	JJ	X	O
question	NN	1011011010	O
:	:	O	O
how	WRB	001110111101	O
will	MD	001001010	O
Russia	NNP	0011111011	O
continue	VBP	00110001	O
to	TO	000110	O
employ	VB	0011100100	O
a	DT	11110	O
variety	NN	1000101	O
of	IN	00010	O
methods	NNS	10111110100	O
,	,	00000	O
including	VBG	001110110110	O
hacks	NNS	X	O
and	CC	00001101	O
leaks	NNS	X	O
,	,	00000	O
to	TO	000110	O
undermine	VB	X	O
the	DT	111110	O
institutions	NNS	101110010	O
,	,	00000	O
policies	NNS	10111110110	O
,	,	00000	O
and	CC	00001101	O
actors	NNS	1011101010	O
that	IN	00001111	O
the	DT	111110	O
Russian	JJ	110111010	O
Government	NN	110110110	O
perceives	NNS	X	O
as	IN	00001110	O
constricting	NN	X	O
and	CC	00001101	O
condemning	VBG	X	O
its	PRP$	1111111111	O
forceful	JJ	X	O
pursuit	NN	100001	O
of	IN	00010	O
its	PRP$	1111111111	O
state	NN	110110110	O
aims	NNS	00110000	O
?	.	011101110	O

Our	PRP$	0100011	O
visibility	NN	1010110010	O
into	IN	0001111111010	O
the	DT	111110	O
operations	NNS	1011100011	O
of	IN	00010	O
APT28	NNP	00111111010	O
-	:	01111011110	O
a	DT	11110	O
group	NN	1011101001	O
we	PRP	00101000	O
believe	VBP	001110000	O
the	DT	111110	O
Russian	JJ	110111010	O
Government	NN	110110110	O
sponsors	NNS	1011100011	O
-	:	01111011110	O
has	VBZ	001001110	O
given	VBN	001101111110	O
us	PRP	10011001	O
insight	MD	1010110010	O
into	IN	0001111111010	O
some	DT	1110101110	O
of	IN	00010	O
the	DT	111110	O
government	NN	110110010	O
’	NNP	X	O
s	NN	011101011	O
targets	NNS	1011100110	O
,	,	00000	O
as	RB	00001110	O
well	RB	001111111111	O
as	IN	00001110	O
its	PRP$	1111111111	O
objectives	NNS	1011100110	O
