1	CD	00111110010	O
MoneyTaker	NN	X	O
1.5	CD	011101000	O
YEARS	NNS	X	O
OF	IN	X	O
SILENT	NNP	X	O
OPERATIONS	NNP	X	O
December	NNP	001111010	O
2017	CD	X	O
www.group-ib.com	NN	X	O
2	CD	00111110010	O
TABLE	NN	X	O
OF	IN	X	O
CONTENTS	NNP	X	O
Summary	JJ	X	O
Attack	NN	011101101	O
infrastructure	NN	1011111001	O
Provision	NN	X	O
of	IN	00010	O
the	DT	111110	O
malware	NN	10100010	O
survivability	NN	X	O
Propagation	NN	X	O
across	IN	00011111111110	O
the	DT	111110	O
network	NN	101010010	O
Spying	VBG	X	O
on	IN	0001111110	O
legitimate	JJ	110010011	O
users	NNS	10111001110	O
Attack	NN	011101101	O
on	IN	0001111110	O
AWS	NNP	X	O
CBR	NNP	X	O
Potential	JJ	X	O
attacks	NNS	101110000	O
on	IN	0001111110	O
SWIFT	NNP	X	O
Attack	NN	011101101	O
on	IN	0001111110	O
card	NN	10011001	O
processing	NN	1010110111	O
Using	VBG	01011111	O
banking	NN	110110010	B-Entity
Trojans	NNS	10111111011	I-Entity
Using	VBG	01011111	I-Entity
POS	NNP	O	I-Entity
Trojans	NNPS	10111111011	I-Entity
Recommendations	NNS	X	I-Entity
Indicators	NNS	010000	I-Entity
of	IN	00010	I-Entity
compromise	NN	10010100	I-Entity
3	CD	00111110010	I-Entity
7	CD	001111100111	I-Entity
11	CD	001111100110	I-Entity
12	CD	001111100110	I-Entity
15	CD	001111100110	I-Entity
19	CD	001111100111	I-Entity
25	CD	001111100110	I-Entity
26	CD	001111100110	I-Entity
27	CD	001111100110	I-Entity
28	CD	001111100110	I-Entity
29	CD	001111100110	I-Entity
31	CD	001111100110	I-Entity
SUMMARY	CD	X	I-Entity
01	CD	011101000	I-Entity
From	NN	01011101	I-Entity
May	NNP	001111010	I-Entity
2016	CD	X	I-Entity
to	TO	000110	I-Entity
November	NNP	001111010	I-Entity
2017	CD	X	I-Entity
,	,	00000	O
at	IN	000111111110	O
least	JJS	001111111101	O
20	CD	011101101	O
organisations	NNS	10111001111	O
were	VBD	00100000	O
attacked	VBN	101010101	O
in	IN	0001110	O
the	DT	111110	O
United	NNP	11000100	O
States	NNS	101111010	O
,	,	00000	O
UK	NNP	110111110	O
and	CC	00001101	O
Russia	NNP	0011111011	O
.	.	0110	O

At	IN	01011101	O
least	JJS	001111111101	O
one	CD	11101000	O
of	IN	00010	O
the	DT	111110	O
US	NNP	110111110	O
banks	NNS	101110010	O
was	VBD	00100010	O
successfully	RB	001011111101	O
robbed	VBN	X	O
twice	RB	10011111	O
.	.	0110	O

In	IN	01011100	O
addition	NN	001111011	O
to	TO	000110	O
money	NN	110110011	O
,	,	00000	O
attackers	NNS	10100000	O
stole	JJ	X	O
documentation	NN	1010110011	O
related	VBD	001100101	O
to	TO	000110	O
the	DT	111110	O
interbank	NN	X	O
payment	NN	1101000	O
systems	NNS	1011111000	O
,	,	00000	O
which	WDT	00101011	O
appear	VBP	00110001	O
to	TO	000110	O
have	VB	00100110	O
been	VBN	00101101	O
obtained	VBN	001101110100	O
to	TO	000110	O
prepare	VB	0011010101	O
further	JJ	1100101011	O
attacks	NNS	101110000	O
.	.	0110	O

Based	VBN	001101000	O
on	IN	0001111110	O
analysis	NN	1010110011	O
of	IN	00010	O
these	DT	11101110	O
incidents	NNS	10111001111	O
,	,	00000	O
attack	NN	1010110101	O
tools	NNS	10111111011	O
and	CC	00001101	O
the	DT	111110	O
tactics	NNS	10111110100	O
applied	VBN	0011011101011	O
,	,	00000	O
we	PRP	00101000	O
have	VBP	00100110	O
concluded	VBD	0011011000	O
that	IN	00001111	O
the	DT	111110	O
same	JJ	11000101	O
group	NN	1011101001	O
,	,	00000	O
which	WDT	00101011	O
Group-IB	NNP	X	O
has	VBZ	001001110	O
dubbed	VBN	0011010110	O
MoneyTaker	NNP	X	O
(	(	0111101110	O
after	IN	00011111110111	O
the	DT	111110	O
malware	NN	10100010	O
used	VBN	0011011100	O
)	)	01111000	O
is	VBZ	00100011	O
behind	IN	00011111111110	O
these	DT	11101110	O
attacks	NNS	101110000	O
.	.	0110	O

It	PRP	0101010	O
is	VBZ	00100011	O
interesting	VBG	1100111111	O
to	TO	000110	O
note	VB	001110000	O
that	IN	00001111	O
despite	IN	001110110111	O
the	DT	111110	O
effectiveness	NN	X	O
of	IN	00010	O
the	DT	111110	O
attacks	NNS	101110000	O
,	,	00000	O
they	PRP	0010100100	B-Entity
have	VBP	00100110	O
gone	VBN	00101101	O
completely	RB	001011111110	O
unreported	JJ	X	O
till	NN	0111101111110	O
now	RB	001011111111	O
.	.	0110	O

3	CD	00111110010	O
Targets	NNS	10110000	O
•	NN	0111110111	O
In	IN	01011100	O
total	JJ	1010111101	O
Group-IB	NNP	X	O
has	VBZ	001001110	O
confirmed	VBN	00110110010	O
at	IN	000111111110	O
least	JJS	001111111101	O
20	CD	011101101	O
companies	NNS	101110010	O
as	IN	00001110	O
victims	NNS	10111001110	O
of	IN	00010	O
the	DT	111110	O
MoneyTaker	NNP	X	O
group	NN	1011101001	O
,	,	00000	O
16	CD	011101101	O
of	IN	00010	O
which	WDT	00101011	O
are	VBP	00100001	O
located	VBN	00110110111	O
in	IN	0001110	O
the	DT	111110	O
US	NNP	110111110	O
.	.	0110	O

The	DT	010010	O
vast	JJ	11000110	O
