BadCyber	NNP	X	O
Making	VBG	X	O
infosec	JJ	X	O
journalism	NN	X	O
great	JJ	1100110110	O
again	RB	10011111	O
!	.	011101110	O

Technical	JJ	0111011110	O
analysis	NN	1010110011	O
of	IN	00010	O
recent	JJ	1100110101	O
attacks	NNS	101110000	O
against	IN	0001111111110	O
Polish	JJ	110111010	O
banks	NNS	101110010	O
badcyber	NN	X	O
/	NN	011101100	O
February	NNP	001111010	O
16	CD	011101101	O
,	,	00000	O
2017	CD	X	O
/	NN	011101100	O
Investigation	NN	X	O
,	,	00000	O
Malware	NNP	0111000	O
/	NN	011101100	O
bank	NN	101010110	O
,	,	00000	O
malware	NN	10100010	O
,	,	00000	O
Poland	NNP	0011111011	O
7	CD	001111100111	O
	NNS	X	O
Share	NN	X	O
	JJ	X	O
Tweet	NNP	X	O
SHARES	NNP	X	O
It	PRP	0101010	O
has	VBZ	001001110	O
been	VBN	00101101	O
three	CD	11101101	O
weeks	NNS	101111010	O
since	IN	0111101111110	O

information	NN	10011101	O
about	IN	000111101111	O
succesful	JJ	X	O
attacks	NNS	101110000	O
on	IN	0001111110	O
Polish	JJ	110111010	O
banks	NNS	101110010	O
has	VBZ	001001110	O
reached	VBN	0011011101010	O
our	PRP$	111111110	O
ears	NNS	X	O
.	.	0110	O

It	PRP	0101010	O
’	VBZ	X	O
s	JJ	011101011	O
time	NN	1010111110	O
to	TO	000110	O
put	VB	00111001110	O
together	RB	10011111	O
the	DT	111110	O
technical	JJ	110010100	O
description	NN	1000100	O
of	IN	00010	O
how	WRB	001110111101	O
the	DT	111110	O
attacks	NNS	101110000	O
were	VBD	00100000	O
performed	VBN	0011011101010	O
.	.	0110	O

When	WRB	01011111	O
two	CD	11101101	O
weeks	NNS	101111010	O
ago	IN	001011111111	O
we	PRP	00101000	O
have	VBP	00100110	O
revealed	VBN	00110110101	O
the	DT	111110	O
fact	NN	1010111100	O
that	IN	00001111	O
a	DT	11110	O
few	JJ	110011001	O
Polish	JJ	110111010	O
banks	NNS	101110010	O
were	VBD	00100000	O
hacked	VBN	X	O
by	IN	000111110	O
uknown	JJ	X	B-Entity
attackers	NNS	10100000	I-Entity
,	,	00000	O
the	DT	111110	B-Entity
banks	NNS	101110010	I-Entity
were	VBD	00100000	B-Verb
super	JJ	X	B-Entity
busy	JJ	X	I-Entity
scanning	VBG	10010100	I-Entity
internal	JJ	1100101111	I-Entity
networks	NNS	1011111000	I-Entity
and	CC	00001101	O
looking	VBG	0011010101	O
for	IN	0001111010	O
intruders	NNS	X	O
.	.	0110	O

Nobody	NN	X	O
bothered	VBD	X	O
to	TO	000110	O
write	VB	00111001111	O
down	RP	10011000	O
the	DT	111110	O
details	NNS	10111111111	O
of	IN	00010	O
the	DT	111110	O
infection	NN	1010110111	O
process	NN	10101111110	O
.	.	0110	O

Since	IN	01011101	O
then	RB	001011111011	O
some	DT	1110101110	O
companies	NNS	101110010	O
tried	VBD	001100101	O
to	TO	000110	O
cover	VB	0011100101	O
less	JJR	1110010	O
or	CC	00001100	O
more	JJR	1110010	O
technical	JJ	110010100	O
details	NNS	10111111111	O
of	IN	00010	O
this	DT	1111110	O
attack	NN	1010110101	O
.	.	0110	O

by	IN	000111110	O
multiple	NN	1110111111	O
sources	NNS	1011010001	O
.	.	0110	O

In	IN	01011100	O
this	DT	1111110	O
article	NN	1011101101	O
we	PRP	00101000	O
will	MD	001001010	O
try	VB	00110001	O
to	TO	000110	O
cover	VB	0011100101	O
the	DT	111110	O
whole	JJ	1101010011	O
infection	NN	1010110111	O
process	NN	10101111110	O
–	IN	0111101111111	O
starting	VBG	0011011101111	B-Verb
with	IN	000111100	B-Preposition
a	DT	11110	B-Entity
bank	NN	101010110	I-Entity
employee	NN	1011101100	I-Entity
visiting	VBG	00111011100	I-Entity
the	DT	111110	I-Entity
Polish	JJ	110111010	I-Entity
Financial	NNP	X	I-Entity
Supervision	NNP	X	I-Entity
Authority	NNP	0111000	I-Entity
website	NN	101110111110	I-Entity
and	CC	00001101	I-Entity
ending	VBG	X	I-Entity
in	IN	0001110	I-Entity
his	PRP$	1111111110	I-Entity
workstation	NN	X	I-Entity
being	VBG	001011111100	I-Entity
infected	VBN	101010100	I-Entity
by	IN	000111110	I-Entity
a	DT	11110	I-Entity
clever	JJ	1100110101	I-Entity
RAT	NNP	011111110	I-Entity
.	.	0110	O

.	.	0110	O

What	WP	0101011	O
happened	VBD	00110110100	O
in	IN	0001110	O
the	DT	111110	O
browser	NN	10110111010	O
To	TO	01011101	O
start	VB	00111001111	B-Verb
the	DT	111110	B-Entity
infection	NN	1010110111	I-Entity
process	NN	10101111110	I-Entity
a	DT	11110	I-Entity
bank	NN	101010110	I-Entity
employee	NN	1011101100	I-Entity
had	VBD	001001111	O
to	TO	000110	O
visit	VB	00111001111	O
the	DT	111110	O
www.knf.gov.pl	NN	X	O
website	NN	101110111110	O
sometimes	RB	001011111011	O
between	IN	000111101110	O
October	NNP	001111010	O
5h	CD	X	O
,	,	00000	O
2016	CD	X	O
and	CC	00001101	O
February	NNP	001111010	O
2nd	CD	1100001	O
,	,	00000	O
2017	CD	X	O
.	.	0110	O

Most	JJS	010000	O
pages	NNS	10110111010	O
on	IN	0001111110	O
this	DT	1111110	O
website	NN	101110111110	O
included	VBD	00110110110	O
the	DT	111110	O
following	JJ	11000111	O
script	NN	101101111011	O
:	:	O	O
http	NN	0111111110	O
:	:	O	O
//www.knf.gov.pl/DefaultDesign/Layouts/KNF2013/resources/accordian-	JJ	X	O
src.js	NN	X	O
?	.	011101110	O
ver=11	NN	X	O
Somewhere	RB	X	O
next	JJ	1100001	O
to	TO	000110	O
the	DT	111110	O
end	NN	1000111	O
of	IN	00010	O
this	DT	1111110	O

of	IN	00010	O
the	DT	111110	O
visitor	NN	X	O
–	NN	0111101111111	O
most	RBS	1110011	O
probably	RB	00101111011	O
based	VBN	001101000	O
on	IN	0001111110	O
IP	NNP	110100110	O
whitelists	NNS	X	O
including	VBG	001110110110	O
address	NN	10110010	O
classess	NN	X	O
deemeed	NN	X	O
interesting	NN	1100111111	O
by	IN	000111110	O
the	DT	111110	B-Entity
attackers	NNS	10100000	I-Entity
.	.	0110	O

as	IN	00001110	O
interesting	NN	1100111111	O
,	,	00000	O
it	PRP	00101010	O
received	VBD	001101110100	O
one	CD	11101000	O
of	IN	00010	O
four	CD	11101101	O
exploits	NNS	10111110101	O
:	:	O	O
cambio.xap	NN	X	O

attacking	VBG	001110111010	O
vulnerable	JJ	1100110100	O
Silverlight	NN	X	O
plugin	NN	1010010110	O
:	:	O	O
4cc10ab3f4ee6769e520694a10f611d5	CD	X	O
including	VBG	001110110110	O
a	DT	11110	O
malicious	JJ	110010010	O
DLL	NNP	1010001110	O

or	CC	00001100	O
cambio.swf	NN	X	O

attempting	VBG	001100111	O
to	TO	000110	O
exploit	VB	1010011100	O
Flash	NNP	11010010	O
plugin	NN	1010010110	O
:	:	O	O
6dffcfa68433f886b2e88fd984b4995a	CD	X	O
1f2cd85583a4a56b764ba6429c2155ec	CD	X	O
including	VBG	001110110110	O
three	CD	11101101	O
exploits	NNS	10111110101	O
:	:	O	O
CVE-2015-8651	JJ	X	O
,	,	00000	O
CVE-2016-1019	JJ	X	O
and	CC	00001101	O
CVE-2016-4117	NNP	X	O
.	.	0110	O

Exploits	NNS	0011111010	O
used	VBN	0011011100	O
in	IN	0001110	O
this	DT	1111110	O
attack	NN	1010110101	O
were	VBD	00100000	O
borrowed	VBN	X	O
from	IN	00011110110	O
commercial	JJ	1101110110	O
exploit	NN	1010011100	O
packs	NNS	X	O
.	.	0110	O

As	IN	01011110	O
far	RB	0011111110111	O
as	IN	00001110	O
we	PRP	00101000	O
know	VBP	001110000	O
at	IN	000111111110	O
the	DT	111110	O
moment	NN	101000011	O
of	IN	00010	O
the	DT	111110	O
attacks	NNS	101110000	O
none	NN	100001	O
of	IN	00010	O
the	DT	111110	O
exploited	JJ	001101110100	O
vulnerabilities	NNS	10111110101	O
were	VBD	00100000	O
considered	VBN	00110110101	O
a	DT	11110	O
0day	CD	X	O
.	.	0110	O

The	DT	010010	O
exploit	NN	1010011100	O
call	NN	100101110	O
included	VBD	00110110110	O
a	DT	11110	O
parameter	NN	101101111111	O
pointing	VBG	001100100	O
to	TO	000110	O
a	DT	11110	O
shellcode	NN	1010011011	O
,	,	00000	O
which	WDT	00101011	O
downloaded	VBD	001101111111	B-Verb
a	DT	11110	B-Entity
reconnaissance	NN	10111111110	I-Entity
tool	NN	101001001	I-Entity
(	(	0111101110	O
described	VBN	00110110100	O
in	IN	0001110	O
the	DT	111110	O
BAE	NNP	X	O
article	NN	1011101101	O
)	)	01111000	O
from	IN	00011110110	O
the	DT	111110	O
same	JJ	11000101	O
domain	NN	10110111100	O
.	.	0110	O

The	DT	010010	O
tools	NNS	10111111011	O
gathered	VBD	0011010100	O
some	DT	1110101110	O
basic	JJ	1100101010	O
info	NN	011111010	O
about	IN	000111101111	O
the	DT	111110	O
machine	NN	101010000	O
and	CC	00001101	O
uploaded	VBD	001101110110	O
it	PRP	00101010	O
back	RB	10011010	O
to	TO	000110	O
its	PRP$	1111111111	O
server	NN	10110001	O
.	.	0110	O

If	IN	01011111	O
the	DT	111110	O
analysis	NN	1010110011	O
results	NNS	10111111111	O
were	VBD	00100000	O
deemed	VBN	X	O
interesting	JJ	1100111111	O
to	TO	000110	O
the	DT	111110	O
attackers	NNS	10100000	O
,	,	00000	O
they	PRP	0010100100	O
could	MD	001001000	O
